statistics,f_21_001,f_21_0001,f_21_00001,f_21_001_startvalue,f_21_0001_startvalue,f_21_00001_startvalue,f_49_001,f_49_0001,f_49_00001,f_49_001_startvalue,f_49_0001_startvalue,f_49_00001_startvalue,c_21_001,c_21_0001,c_21_00001,c_49_001,c_49_0001,c_49_00001,m_21_001,m_21_0001,m_21_00001,m_49_001,m_49_0001,m_49_00001
242_2851,2.2180527,2.2205266,2.2205266,2.2508489,2.2507754,2.2509933,2.2009505,2.2071178,2.207725,2.2092893,2.2079988,2.2078873,2.254071472,2.253354932,2.2532831,2.254451346,2.253845557,2.253760116,2.2539,2.2534,2.2533,2.2544,2.2538,2.2538
242_3094,0.8891448,0.8905207,0.8905207,0.897268,0.8974065,0.8974103,0.8888861,0.8957199,0.896557,0.8968186,0.8967721,0.8967185,0.89737526,0.8974124,0.897412729,0.89716182,0.897324939,0.897327524,0.8973,0.89741,0.89741,0.89718,0.89732,0.89733
242_3027,0.5787306,0.5645831,0.5645831,0.5537511,0.5538669,0.553876,0.5794075,0.5532622,0.553955,0.5541999,0.5541817,0.5541189,0.553773431,0.553860313,0.553869309,0.554333568,0.55448772,0.554498688,0.55374,0.55386,0.55387,0.55435,0.55449,0.5545
233_3883,1.2078148,1.2110072,1.2110072,1.2162785,1.2163975,1.2163997,1.2075799,1.2150609,1.2158,1.215966,1.2159093,1.2158894,1.216368129,1.216359827,1.216357039,1.216475278,1.216534213,1.216529125,1.2163,1.2164,1.2164,1.2165,1.2165,1.2165
233_3906,0.4700842,0.4466938,0.4466938,0.4147779,0.4149559,0.4149652,0.4706334,0.4143813,0.414946,0.4151026,0.4151698,0.4151322,0.41481816,0.414950775,0.414962903,0.415075971,0.415266397,0.415278032,0.41477,0.41495,0.41496,0.41509,0.41527,0.41528
10104_41766,0.4579399,0.4399055,0.4399055,0.4199511,0.4199302,0.4199301,0.4585214,0.4201599,0.42027,0.4202176,0.4202301,0.4202206,0.419958495,0.41993485,0.419932045,0.420179683,0.420203805,0.420203851,0.41995,0.41993,0.41993,0.42018,0.4202,0.4202
10104_41776,0.2212573,0.1969781,0.1969781,0.1664777,0.166551,0.1667564,0.2237489,0.1705292,0.16901,0.1687627,0.1688039,0.1688821,0.168306857,0.168271996,0.168270041,0.168679847,0.168615898,0.168613814,0.16833,0.16827,0.16827,0.16867,0.16862,0.16861
242_3126,2.0388589,2.0785843,2.0785843,2.1430635,2.1422125,2.1423226,2.0247576,2.0799063,2.080736,2.0939943,2.0850108,2.0818884,2.145237249,2.143907882,2.143786436,2.145633696,2.144320799,2.144178103,2.1451,2.1439,2.1438,2.1456,2.1443,2.1442
233_3954,0.4478187,0.4364674,0.4364674,0.4276579,0.4275987,0.4275889,0.4481355,0.4278585,0.427934,0.4277958,0.4278412,0.4278763,0.427657311,0.427594616,0.427588259,0.427700922,0.427670447,0.427667278,0.42766,0.4276,0.42759,0.4277,0.42767,0.42767
242_2406,0.2836019,0.2573086,0.2573086,0.2041353,0.2041933,0.2042338,0.2842001,0.2071556,0.204354,0.2043252,0.2043525,0.2043534,0.20452496,0.204541941,0.204542964,0.204310953,0.20434281,0.204343689,0.20451,0.20454,0.20454,0.20431,0.20434,0.20434
20201_4627,2.4126169,2.415587,2.415587,2.4807997,2.4796106,2.4801837,2.3833307,2.3898184,2.390645,2.3933954,2.391215,2.3911031,2.488574959,2.486109773,2.48590766,2.487705183,2.48543984,2.485203041,2.4884,2.4861,2.4859,2.4876,2.4854,2.4852
242_3022,0.3344358,0.3198194,0.3198194,0.305439,0.3054308,0.3054309,0.3348404,0.3053229,0.305783,0.3056451,0.3057375,0.3058053,0.305440023,0.305426934,0.305425892,0.30551805,0.305517519,0.305517229,0.30544,0.30543,0.30543,0.30552,0.30552,0.30552
233_3897,0.3859432,0.3772537,0.3772537,0.3727429,0.372755,0.3727547,0.3860507,0.3724717,0.372871,0.3727478,0.3728406,0.3728963,0.372742234,0.372750752,0.372751614,0.372570883,0.372560732,0.372559167,0.37274,0.37275,0.37275,0.37257,0.37256,0.37256
233_3960,0.9307904,0.9313621,0.9313621,0.9326306,0.9328827,0.9328983,0.9307811,0.932829,0.933069,0.9330259,0.9331194,0.9331323,0.932605658,0.932858039,0.932882038,0.932428038,0.932715172,0.932740123,0.93258,0.93286,0.93288,0.93245,0.93272,0.93274
242_2652,0.6431553,0.643563,0.643563,0.6463715,0.6464575,0.6464677,0.6433219,0.6458344,0.646121,0.6462647,0.6461774,0.6461521,0.646407752,0.646462639,0.646466497,0.646643708,0.646767043,0.64677281,0.64637,0.64646,0.64647,0.64666,0.64677,0.64677
10104_41771,1.5630219,1.5660067,1.5660067,1.5736695,1.5733457,1.5733635,1.5622038,1.5705202,1.571355,1.5716261,1.5715113,1.5715445,1.574000517,1.573410384,1.573354016,1.574310379,1.573823802,1.573755389,1.5739,1.5734,1.5734,1.5743,1.5738,1.5738
20201_4631,0.2191376,0.1913534,0.1913534,0.157081,0.157305,0.1576044,0.2215397,0.1617097,0.159944,0.1600001,0.1600132,0.1600084,0.159772353,0.159779564,0.15978165,0.160010623,0.160027146,0.160028738,0.15976,0.15978,0.15978,0.16001,0.16003,0.16003
100180_17,0.3762756,0.3682871,0.3682871,0.365639,0.3656974,0.3656965,0.3768667,0.3654271,0.366068,0.3661582,0.3661917,0.3661959,0.365657409,0.365689,0.365692376,0.366110715,0.36618902,0.366193949,0.36563,0.36569,0.36569,0.36612,0.36619,0.36619
i_233_4018_AS_MoreDogs,1.8806772,1.8795249,1.8795249,1.8759489,1.8769621,1.8771792,1.880897,1.8782007,1.8778095,1.8775619,1.8775864,1.8777033,1.872606604,1.87687769,1.877280186,1.872424092,1.876855625,1.877329004,1.8728,1.8768,1.8773,1.8726,1.8769,1.8773
i_233_4035_AS_Correct,2.2244769,2.2233538,2.2233538,2.2197043,2.2207315,2.220937,2.2247872,2.2219692,2.2216253,2.2213958,2.2214155,2.221524,2.216327666,2.220592006,2.2209941,2.21626526,2.2206934,2.221166735,2.2165,2.2206,2.221,2.2164,2.2207,2.2212
i_233_4048_AS_FirstKeySelected,-0.8723532,-0.8717997,-0.8717997,-0.8721343,-0.8710938,-0.8709212,-0.8722536,-0.8710511,-0.8709079,-0.8710494,-0.8710157,-0.8708831,-0.87567837,-0.871354761,-0.870947316,-0.875743587,-0.871235383,-0.870756026,-0.87552,-0.87139,-0.87095,-0.87556,-0.87122,-0.87076
